SMILES,IE,EA,n_F,n_O
CC1=C(C)N([O])C2=C(CCCC2)N1[O],5.813158339,2.23768842,0,2
CCOC(=O)OCCc1ccccc1,6.701221632,0.851269341,0,3
O=C1C=CC(=O)C(c2ccccc2)=C1,6.732271056,4.142953933,0,2
O=C1CC[C@H]2CCC[C@@H]1C2,6.797908639,1.449112258,0,1
CCOC(=O)CC[C@@H](C(=O)OCC)[N+](=O)[O-],7.874402609,3.139684684,0,6
O=C1C=CC(=O)C(Cl)=C1Cl,7.599917513,4.487678702,0,2
Nc1ccc(Cc2ccc(N)cc2)cc1,5.157909636,0.848874513,0,0
O=C(c1ccccc1)c1cccc([N+](=O)[O-])c1,7.038249554,3.508938782,0,3
Nc1cccc2ccccc12,5.140652718,1.608489777,0,0
CC1=CC(=O)[C@@H]2C[C@H]1C(=O)C=C2C,6.79749806,2.8211705,0,2
COC(=O)[C@@H]1CCC[C@H]1C(=O)OC,7.622409219,1.299025198,0,4
COc1ccccc1N(C)C,4.896213932,0.625781474,0,1
COc1cccc(C#N)c1,6.476270057,2.068677489,0,1
CN(C)c1nc(C#N)c(C#N)nc1N(C)C,5.564075013,2.777009665,0,0
CCCNc1ccccc1,5.229924553,0.637314934,0,0
CN(C)c1ccc2cccc3c2c1C(=O)C=C3,5.488028741,2.83737336,0,1
CCN(CC)c1ccc2ccc(=O)oc2c1,5.397042467,2.254441112,0,2
C=Cn1cccn1,6.298759615,1.448809352,0,0
Fc1cccc2ccccc12,6.027186246,1.838124425,1,0
O=CC(=O)c1ccccc1,7.051333628,3.648162301,0,2
Nc1cc[nH]c(=O)n1,6.571040559,1.829540425,0,1
O=C(OCc1ccccc1)c1ccc(O)cc1,6.600740519,1.929380802,0,3
c1ccc(COc2cccc3ccccc23)cc1,5.579532347,1.567063446,0,1
Cc1ccc2ccc3c(C)ccc4ccc1c2c43,5.288048374,2.149234726,0,0
CC(=O)/C=C/c1ccc(C)cc1,6.229494072,2.741689103,0,1
CN1C(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C1=O,7.297705019,3.445619652,0,2
O=S(=O)(F)[N]S(=O)(=O)F,7.524618085,3.340137278,2,4
C[C@@H]1CN(C)C[C@H](c2ccccc2)N1C,5.466686872,0.558823112,0,0
CN(C)[C@@H]1CN(C)[C@H](c2ccccc2)CN1C,5.260433112,0.545335583,0,0
CN1CCN(C)[C@@H](N(C)C)[C@H]1[C]([NH])O,5.366285076,0.543969669,0,1
CO[C@H]1[C@@H](N(C)C)N(C)CCN1C,5.585524008,0.56325438,0,1
CN1C[C@H]([C]([NH])O)N(C)[C@H](c2ccccc2)C1,5.762172224,0.716772174,0,1
C=C[C@@H]1CN(C)[C@H](c2ccccc2)CN1C,5.431428734,0.56305746,0,0
O=C(O)[C@]1(c2ccccc2)COCCO1,7.098892197,1.350439365,0,4
CN1CCN(C)C(N(C)C)(N(C)C)C1,5.071245946,0.213945368,0,0
CN1CCN(C)[C@@](c2ccccc2)(N(C)C)C1,5.152422346,0.553161289,0,0
ClC(Cl)(Cl)[C@@H]1OCCO[C@@H]1c1ccccc1,6.808111829,3.421910662,0,2
CN[C@H]1CN(C)C[C@@H](c2ccccc2)N1C,5.370651548,0.570149294,0,0
CN(C)[C@H]1[C@@H](c2ccccc2)N(C)CCN1C,5.14491829,0.527667946,0,0
O=C(O)[C@@H]1CS[C@H](c2ccccc2)CS1,6.439061765,2.257636643,0,2
N[C@@H]1CS[C@H](c2ccccc2)CS1,6.206359771,0.807997044,0,0
C1=COC(c2ccccc2)=C(c2ccccc2)O1,5.232361733,1.966344021,0,2
CO[C@@H]1SCCS[C@@H]1c1ccccc1,6.361011431,1.75811537,0,1
ClC(Cl)(Cl)[C@@H]1CS[C@H](c2ccccc2)CS1,6.50218916,3.696115503,0,0
O=C(O)[C@@H]1SCCS[C@@H]1c1ccccc1,6.315534583,2.291337821,0,2
CN(C)[C@@H]1CSC[C@H](N(C)C)S1,5.489760355,0.352993793,0,0
CC[C@@]1(c2ccccc2)CSCCS1,6.329802459,1.892384578,0,0
CC[C@H]1SCCS[C@H]1N(C)C,5.706374093,0.412740623,0,0
CN(C)[C@@H]1SCCS[C@@H]1C(=O)O,5.643205124,2.216181252,0,2
CN(C)[C@H]1CSC[C@@H](c2ccccc2)S1,5.782767722,1.874195035,0,0
CN(C)C1=CSC=C(c2ccccc2)S1,4.918419156,1.770364175,0,0
CN(C)[C@@]1(c2ccccc2)CSCCS1,5.743258026,0.793850218,0,0
c1ccc([C@H]2CSC[C@@H](c3ccccc3)S2)cc1,6.387641058,0.991060965,0,0
Cn1c(=O)c2c(n(C)c1=O)n(C)c(=O)n2C,5.536896637,1.824424505,0,3
C=Cc1ccccc1C=C,6.013053168,1.920253236,0,0
C=Cc1cccc2c1Nc1ccccc1S2,4.909521901,1.885113097,0,0
Cc1cc(O)c(C)c(C)c1O,5.351473636,0.605306349,0,2
C=C1[C@@H]2CC[C@@H](C2)C1(C)C,6.347132857,0.537329951,0,0
Nc1cccc2c1C(=O)c1ccccc1C2=O,5.894067789,3.453491903,0,2
C=Cc1cccs1,5.834572863,1.904678841,0,0
CNC1CCSCC1,5.59430128,0.626060622,0,0
CC(=O)Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,6.489402802,3.61468026,0,3
Cc1cc(-c2ccncc2)c(C#N)cn1,7.253414274,2.805265609,0,0
Cc1cc(-c2ccncc2C#N)ccn1,7.062994868,2.832616571,0,0
CS(=O)(=O)[N]C1=C[CH]C(=O)C=C1,7.724558463,4.442775954,0,3
O=C1CCC(=O)N1Cl,7.829654574,4.326403271,0,2
COc1nnc(OC)nn1,6.578042364,3.620301357,0,2
O=C1CCNC(=O)N1,7.369517287,1.435912064,0,2
C(=C/c1cc2ccc3cc(/C=C/c4ccccc4)sc3c2s1)\c1ccccc1,5.091786697,2.606594972,0,0
CC(C)(C)c1ccccc1O,6.052613548,0.648088577,0,1
Cc1ccc(S(=O)(=O)N2CCCCC2)cc1,6.241116201,1.811529719,0,2
